topic,rank,doc_id,doc_full,title
1,2,0501058v1,The Rosenbluth form for the collision operator for a weakly relativistic plasma is derived. The formalism adopted by Antonsen and Chu can then be used to calculate the efficiency of current drive by fast waves in a relativistic plasma. Accurate numerical results and analytic asymptotic limits for the efficiencies are given.,Efficiency of Current Drive by Fast Waves
1,3,0502001v2,A catastrophe model for the onset of fast magnetic reconnection is presented that suggests why plasma systems with magnetic free energy remain apparently stable for long times and then suddenly release their energy. For a given set of plasma parameters there are generally two stable reconnection solutions: a slow (Sweet-Parker) solution and a fast (Alfv\'enic) Hall reconnection solution. Below a critical resistivity the slow solution disappears and fast reconnection dominates. Scaling arguments predicting the two solutions and the critical resistivity are confirmed with two-fluid simulations.,A catastrophe model for fast magnetic reconnection onset
1,4,0502064v1,"The shear viscosity of a two-dimensional liquid-state dusty plasma was measured experimentally. A monolayer of highly charged polymer microspheres, with a Yukawa interaction, was suspended in a plasma sheath. Two counter-propagating Ar laser beams pushed the particles, causing shear-induced melting of the monolayer and a shear flow in a planar Couette configuration. By fitting the particle velocity profiles in the shear flow to a Navier-Stokes model, the kinematic viscosity was calculated; it was of order 1 mm^2/s, depending on the monolayer's parameters and shear stress applied.",Shear Flows and Shear Viscosity in a Two-Dimensional Yukawa System   (Dusty Plasma)
1,5,0502030v1,"Three dimensional computations of self consistent three species gyrofluid turbulence are carried out for tokamak edge conditions. Profiles as well as disturbances in dependent variables are followed, running the dynamical system to transport equilibrium. The third species density shows a significant correlation with that of the electrons, regardless of initial conditions and drive mechanisms. For decaying systems the densities evolve toward each other. Companion tests with a simple two dimensional drift wave model show this persists even if the third species is a passively advected test field. Similarity in the transport character of electrons and the trace species does not imply that the electrons themselves have a test particle transport character.",Dynamical Alignment in Three Species Tokamak Edge Turbulence
2,1,0501021v1,Far infrared radiation absorption of a quantum dot with few electrons in an orthogonal magnetic field could monitor the crossover to the fully spin polarized state. A Rashba spin-orbit coupling can tune the energy and the spin density of the first excited state which has a spin texture carrying one extra unit of angular momentum. The spin orbit coupling can squeeze a flipped spin density at the center of the dot and can increase the gap in the spectrum.,Rashba-control for the spin excitation of a fully spin polarized   vertical quantum dot
2,2,0501012v1,"Quasi-static transport measurements are employed on a laterally defined tunnel-coupled double quantum dot. A nearby quantum point contact allows us to track the charge as added to the device. If charged with only up to one electron, the low-energy spectrum of the double quantum dot is characterized by its quantum mechanical interdot tunnel splitting. We directly measure its magnitude by utilizing particular anticrossing features in the stability diagram at finite source-drain bias. By modification of gate voltages defining the confinement potential as well as by variation of a perpendicular magnetic field we demonstrate the tunability of the coherent tunnel coupling.",Direct control of the tunnel splitting in a one-electron double quantum   dot
2,3,0501046v1,"Inelastic spin relaxation and spin splitting $\epsilon_{\mathrm{s}}$ in lateral quantum dots are studied in the regime of strong in-plane magnetic field. Due to both g-factor energy dependence and spin-orbit coupling $\epsilon_{\mathrm{s}}$ demonstrates a substantial non-linear magnetic field dependence similar to that observed by R.Hanson \textit{et al} [Phys. Rev. Lett. \textbf{91}, 196802 (2003)]. It also varies with the in-plane orientation of magnetic field due to crystalline anisotropy of spin-orbit coupling. Spin relaxation rate is also anisotropic, the anisotropy increasing with the field. When the magnetic length is less than the 'thickness' of GaAs dot, the relaxation can be order of magnitude faster for $\mathbf{B}% \Vert\lbrack100]$ than for $\mathbf{B\Vert}[110]$.",Anisotropy of spin splitting and spin relaxation in lateral quantum dots
2,4,0501141v1,"We examine the full counting statistics of quantum dots, which display super-Poissonian shot noise. By an extension to a generic situation with many excited states we identify the underlying transport process. The statistics is a sum of independent Poissonian processes of bunches of different sizes, which leads to the enhanced noise. The obtained results could be useful to determine transport characteristics in molecules and large quantum dots, since the noise (and higher cumulants) allow to identify the internal level structure, which is not visible in the average current.",Full counting statistics of super-Poissonian shot noise in multi-level   quantum dots
2,5,0501437v1,"The single electron transistor (SET) offers unparalled opportunities as a nano-scale electrometer, capable of measuring sub-electron charge variations. SETs have been proposed for read-out schema in solid-state quantum computing where quantum information processing outcomes depend on the location of a single electron on nearby quantum dots. In this paper we investigate various geometries of a SET in order to maximize the device's sensitivity to charge transfer between quantum dots. Through the use of finite element modeling we model the materials and geometries of an Al/Al2O3 SET measuring the state of quantum dots in the Si substrate beneath. The investigation is motivated by the quest to build a scalable quantum computer, though the methodology used is primarily that of circuit theory. As such we provide useful techniques for any electronic device operating at the classical/quantum interface.",Analysis and Geometric Optimization of Single Electron Transistors for   Read-Out in Solid-State Quantum Computing
3,1,0501187v1,"We argue that an arbitrarily chosen time-dependent current density is generically non-Vrepresentable in a many-particle system, i.e., it cannot be obtained by applying only a time dependent scalar potential to the system. Furthermore we show by a concrete example that even a current that is V-representable in an interacting many-particle system may (and in general will) turn out to be non-V-representable when the interaction between the particles is turned off.",On the non-V-representability of currents in time-dependent many   particle systems
3,2,0501353v1,"Exact exchange (EXX) Kohn-Sham calculations within an all-electron full-potential method are performed on a range of semiconductors and insulators (Ge, GaAs, CdS, Si, ZnS, C, BN, Ne, Ar, Kr and Xe). We find that the band-gaps are not as close to experiment as those obtained from previous pseudopotential EXX calculations. Full-potential band-gaps are also not significantly better for $sp$ semiconductors than for insulators, as had been found for pseudopotentials. The locations of $d$-band states, determined using the full-potential EXX method, are in excellent agreement with experiment, irrespective of whether these states are core, semi-core or valence. We conclude that the inclusion of the core-valence interaction is necessary for accurate determination of EXX Kohn-Sham band structures, indicating a possible deficiency in pseudopotential calculations.",All-electron Exact Exchange Treatment of Semiconductors: Effect of   Core-valence Interaction on Band-gap and $d$-band Position
3,3,0502065v3,"The Kohn-Sham (KS) equations determine, in a self-consistent way, the particle density of an interacting fermion system at thermal equilibrium. We consider a situation when the KS equations are known to have a unique solution at high temperatures and this solution is a uniform particle density. We show that, at zero temperature, there are stable solutions that are not uniform. We provide the general principles behind this phenomenon, namely the conditions when it can be observed and how to construct these non-uniform solutions. Two concrete examples are provided, including fermions on the sphere which are shown to crystallize in a structure that resembles the C$_{60}$ molecule.",Symmetry breaking in the self-consistent Kohn-Sham equations
3,4,0502128v1,"The properties of the Kohn-Sham (KS) exchange potential for open systems in thermodynamical equilibrium, where the number of particles is non-conserved, are analyzed with the Optimized Effective Potential (OEP) method of Density Functional Theory (DFT) at zero temperature. The quasi two-dimensional electron gas (2DEG) is used as an illustrative example. The main findings are that the KS exchange potential builds a significant barrier-like structure under slight population of the second subband, and that both the asymptotic value of the KS exchange potential and the inter-subband energy jump discontinuously at the one-subband (1S) -> two-subband (2S) transition. The results obtained in this system offer new insights on open problems of semiconductors, such as the band-gap underestimation and the band-gap renormalization by photo-excited carriers.",Novel properties of the Kohn-Sham exchange potential for open systems:   application to the two-dimensional electron gas
3,5,0502388v1,"We introduce an efficient lattice regularization scheme for quantum Monte Carlo calculations of realistic electronic systems. The kinetic term is discretized by a finite difference Laplacian with two mesh sizes, a and a', where a'/a is an irrational number so that the electronic coordinates are not defined on a particular lattice but on the continuous configuration space. The regularized Hamiltonian goes to the continuous limit for a -> 0 and provides several advantages. In particular, it allows the inclusion of non-local potentials in a consistent variational scheme, substantially improving the accuracy upon previous non-variational approaches.",Diffusion Monte Carlo with lattice regularization
4,1,0504484v1,"Metal-oxide-semiconductor field-effect transistors (MOSFET's) using atomic-layer-deposited (ALD) Al$_2$O$_3$ as the gate dielectric are fabricated on the Si/Si$_{1-x}$Ge$_x$ heterostructures. The low-temperature carrier density of a two-dimensional electron system (2DES) in the strained Si quantum well can be controllably tuned from 2.5$\times10^{11}$cm$^{-2}$ to 4.5$\times10^{11}$cm$^{-2}$, virtually without any gate leakage current. Magnetotransport data show the homogeneous depletion of 2DES under gate biases. The characteristic of vertical modulation using ALD dielectric is shown to be better than that using Schottky barrier or the SiO$_2$ dielectric formed by plasma-enhanced chemical-vapor-deposition(PECVD).",Modulation of the high mobility two-dimensional electrons in Si/SiGe   using atomic-layer-deposited gate dielectric
4,2,0505168v1,"Multiple-gate SOI MOSFETs with gate length equal to 25 nm are compared using device Monte Carlo simulation. In such architectures, the short channel effects may be controlled with much less stringent body and oxide thickness requirements than in single-gate MOSFET. Our results highlight that planar double-gate MOSFET is a good candidate to obtain both high current drive per unit-width and weak subthreshold leakage with large integration density and aggressive delay time, compared to non planar devices such as triple-gate or quadruple-gate structures.",Comparison of multiple-gate MOSFET architectures using Monte Carlo   simulation
4,3,0601107v1,"We measured the infrared vibrational properties of bulk and nanoparticle WS$_2$ in order to investigate the structure-property relations in these novel materials. In addition to the symmetry-breaking effects of local strain, nanoparticle curvature modifies the local charging environment of the bulk material. Performing a charge analysis on the \emph{xy}-polarized E$_{1u}$ vibrational mode, we find an approximate 1.5:1 intralayer charge difference between the layered 2H material and inorganic fullerene-like (IF) nanoparticles. This effective charge difference may impact the solid-state lubrication properties of nanoscale metal dichalcogenides.",Dynamics of Bulk vs. Nanoscale WS_2: Local Strain and Charging Effects
4,4,0602003v1,"Metal-semiconductor contacts play a key role in electronics. Here we show that for quasi-one-dimensional structures such as nanotubes and nanowires, side contact with the metal only leads to weak band re-alignement, in contrast to bulk metal-semiconductor contacts. Schottky barriers are much reduced compared with the bulk limit, and should facilitate the formation of good contacts. However, the conventional strategy of heavily doping the semiconductor to obtain ohmic contacts breaks down as the nanowire diameter is reduced. The issue of Fermi level pinning is also discussed, and it is demonstrated that the unique density of states of quasi-one-dimensional structures makes them less sensitive to this effect. Our results agree with recent experimental work, and should apply to a broad range of quasi-one-dimensional materials.",Electrical contacts to nanotubes and nanowires: why size matters
4,5,0607131v1,"A series of molybdenum disulfide intercalation compounds was prepared to study the effect of varying loadings of the samples with intercalated molecules. The molecules, (5,7,7,12,14,14-hexamethyl-1,4,8,11- tetraazacyclotetradeca-4,11-diene) macrocycles, occupy the gallery spaces between the MoS2 layers in a single layer. The samples were characterized by thermogravimetry, wide angle X-ray scattering, scanning electron microscopy and transmission electron microscopy (TEM). TEM images reveal the layer stacking as the filling of the gallery spaces with macrocycles increases gradually up to one monolayer per gallery space. Fourier transforms of these images are in excellent agreement with the X-ray scattering of the bulk compound. X-ray scattering by these compounds was simulated by evaluating the Debye sum for weighted averages of model particles that have sequences of open and closed gallery spaces. Open and closed gallery spaces coexist in the samples with less than one monolayer of intercalated molecules per gallery space. The fraction of open gallery spaces increases with macrocycle loading, from zero for restacked MoS2 without macrocycles to one for a fully intercalated compound. The sequence of open and closed spaces is approximately random, and the MoS2 layers stack with the same orientation but with random lateral shifts. The binding enthalpy of the macrocycles in the gallery spaces is about 14 meV.",Coexistence of open and closed gallery spaces in intercalation compounds
5,1,0501024v1,"Martensites are materials that undergo diffusionless, solid-state transitions. The martensitic transition yields properties that depend on the history of the material and may allow it to recover its previous shape after plastic deformation. This is known as the shape-memory effect (SME). We have succeeded in identifying the primary electronic mechanism responsible for the martensitic transition in the shape-memory alloy AuZn by using Fermi-surface measurements (de Haas-van Alphen oscillations) and band-structure calculations. This strongly suggests that electronic band structure is an important consideration in the design of future SME alloys.",Fermi Surface as a Driver for the Shape-Memory Effect in AuZn
5,2,0501494v1,The evolution of solidification microstructures in ternary metallic alloys is investigated by adaptive finite element simulations of a general multicomponent phase-field model. A morphological transition from dendritic to globular growth is found by varying the alloy composition at a fixed undercooling. The dependence of the growth velocity and of the impurity segregation in the solid phase on the composition is analyzed and indicates a smooth type of transition between the dendritic and globular growth structures.,Dendritic to globular morphology transition in ternary alloy   solidification
5,3,0501521v1,"We discuss a free boundary problem for two moving solid-liquid interfaces that strongly interact via the diffusion field in the liquid layer between them. This problem arises in the context of liquid film migration (LFM) during the partial melting of solid alloys. In the LFM mechanism the system chooses a more efficient kinetic path which is controlled by diffusion in the liquid film, whereas the process with only one melting front would be controlled by the very slow diffusion in the mother solid phase. The relatively weak coherency strain energy is the effective driving force for LFM. As in the classical dendritic growth problems, also in this case an exact family of steady-state solutions with two parabolic fronts and an arbitrary velocity exists if capillary effects are neglected. We develop a velocity selection theory for this problem, including anisotropic surface tension effects. The strong diffusion interaction and coherency strain effects in the solid near the melting front lead to substantial changes compared to classical dendritic growth.",Velocity selection problem for combined motion of melting and   solidification fronts
5,4,0501732v1,"We consider dislocations in the framework of Eringen's nonlocal elasticity. The fundamental field equations of nonlocal elasticity are presented. Using these equations, the nonlocal force stresses of a straight screw and a straight edge dislocation are given. By the help of these nonlocal stresses, we are able to calculate the interaction forces between dislocations (Peach-Koehler forces). All classical singularities of the Peach-Koehler forces are eliminated. The extremum values of the forces are found near the dislocation line.",Peach-Koehler forces within the theory of nonlocal elasticity
5,5,0502023v1,"The aim of this paper is to study the elastic stress and strain fields of dislocations and disclinations in the framework of Mindlin's gradient elasticity. We consider simple but rigorous versions of Mindlin's first gradient elasticity with one material length (gradient coefficient). Using the stress function method, we find modified stress functions for all six types of Volterra defects (dislocations and disclinations) situated in an isotropic and infinitely extended medium. By means of these stress functions, we obtain exact analytical solutions for the stress and strain fields of dislocations and disclinations. An advantage of these solutions for the elastic strain and stress is that they have no singularities at the defect line. They are finite and have maxima or minima in the defect core region. The stresses and strains are either zero or have a finite maximum value at the defect line. The maximum value of stresses may serve as a measure of the critical stress level when fracture and failure may occur. Thus, both the stress and elastic strain singularities are removed in such a simple gradient theory. In addition, we give the relation to the nonlocal stresses in Eringen's nonlocal elasticity for the nonsingular stresses.",Nonsingular stress and strain fields of dislocations and disclinations   in first strain gradient elasticity
6,1,0502465v1,"Predicting and characterizing the crystal structure of materials is a key problem in materials research and development. We report the results of ab initio LDA/GGA computations for the following systems: AgAu, AgCd, AgMg, AgMo*, AgNa, AgNb*, AgPd, AgRh*, AgRu*, AgTc*, AgTi, AgY, AgZr, AlSc, AuCd, AuMo*, AuNb, AuPd, AuPt*, AuRh*, AuRu*, AuSc, AuTc*, AuTi, AuY, AuZr, CdMo*, CdNb*, CdPd, CdPt, CdRh, CdRu*, CdTc*, CdTi, CdY, CdZr, CrMg*, MoNb, MoPd, MoPt, MoRh, MoRu, MoTc*, MoTi, MoY*, MoZr, NbPd, NbPt, NbRh, NbRu, NbTc, NbY*, NbZr*, PdPt, PdRh*, PdRu*, PdTc, PdTi, PdY, PdZr, PtRh, PtRu, PtY, PtTc, PtTi, PtZr, RhRu, RhTc, RhTi, RhY, RhZr, RuTi, RuTc, RuY, RuZr, TcTi, TcY, TcZr, TiZr*, YZr* (*= systems in which the ab initio method predicts that no compounds are stable). A detailed comparison to experimental data confirms the high accuracy with which ab initio methods can predict ground states.   Keywords: Binary Alloys, Ab initio, Intermetallics, Transition Metals, StructureAluminum, Cadmium, Gold, Magnesium, Molybdenum, Niobium, Palladium, Platinum, Rhodium, Ruthenium, Scandium, Silver, Sodium, Titanium, Technetium, Yttrium, Zirconium.",Accuracy of ab initio methods in predicting the crystal structures of   metals: review of 80 binary alloys
6,2,0605066v1,"A novel Genetic Algorithm is described that is suitable for determining the global minimum energy configurations of crystal structures and which can also be used as a polymorph search technique. This algorithm requires no prior assumptions about unit cell size, shape or symmetry, nor about the ionic configuration within the unit cell. This therefore enables true ab initio crystal structure and polymorph prediction. Our new algorithm uses a real-space representation of the population members, and makes use of a novel periodic cut for the crossover operation. Results on large Lennard-Jones systems with FCC- and HCP-commensurate cells show robust convergence to the bulk structure from a random initial assignment and an ability to successfully discriminate between competing low enthalpy configurations. Results from an ab initio carbon polymorph search show the spontaneous emergence of both Lonsdaleite and graphite like structures.",A Periodic Genetic Algorithm with Real-Space Representation for Crystal   Structure and Polymorph Prediction
6,3,0606025v1,"There is a huge and confusing literature about inorganic crystal structure prediction. The word ""prediction"" is used sometimes as meaning ""structure determination"" since the process described needs the knowledge of the chemical composition and of the cell parameters. Some clarifications are presented here together with a new software (GRINSP) and some of its predictions.",Advances in structure prediction of inorganic compounds
6,4,0708.2931v1,"Tetracyclines are an old class of molecules that constitute a broad-spectrum antibiotics. Since the first member of tetracycline family were isolated, the clinical importance of these compounds as therapeutic and prophylactic agents against a wide range of infections has stimulated efforts to define their mode of action as inhibitors of bacterial reproduction. We used three SAR methodologies for the analysis of biological activity of a set of 104 tetracycline compounds. Our calculation were carried out using the semi-empirical Austin Method One (AM1) and Parametric Method 3 (PM3). Electronic Indices Methodology (EIM), Principal Component Analysis (PCA) and Artificial Neural Networks (ANN) were applied to the classification of 14 old and 90 new proposed derivatives of tetracyclines. Our results make evident the importance of EIM descriptors in pattern recognition and also show that the EIM can be effectively used to predict the biological activity of Tetracyclines.",Structure-Activity Relationship Investigation of Some New Tetracyclines   by Electronic Index Methodology
6,5,0711.0855v2,The four items mentioned in the title are put into context in an informal way.,"The Aharonov-Bohm-Effect, Non-commutative Geometry, Dislocation Theory,   and Magnetism"
7,1,0501376v1,By means of exact diagonalization we study the ground-state and the low-temperature physics of the Heisenberg antiferromagnet on the cuboctahedron and the icosidodecahedron. Both are frustrated magnetic polytopes and correspond to the arrangement of magnetic atoms in the magnetic molecules Cu12La8 and Mo72Fe30. The interplay of strong quantum fluctuations and frustration influences the ground state spin correlations drastically and leads to an interesting magnetization process at low temperatures. Furthermore the frustration yields low-lying non-magnetic excitations resulting in an extra low-temperature peak in the specific heat.,Frustration effects in magnetic molecules
7,2,0501460v1,An effective spin-orbit Hamiltonian is derived for a spin-1/2 trimerized kagome antiferromagnet in the second-order of perturbation theory in the ratio of two coupling constants. Low-energy singlet states of the obtained model are mapped to a quantum dimer model on a triangular lattice. The quantum dimer model is dominated by dimer resonances on a few shortest loops of the triangular lattice. Characteristic energy scale for the dimer model constitutes only a small fraction of the weaker exchange coupling constant.,Effective quantum dimer model for trimerized kagome antiferromagnet
7,3,0501693v2,"Spin transport properties of the one-dimensional Heisenberg antiferromagnetic spin systems for both $S=1/2$ and S=1 are studied by applying twisted boundary magnetic field. The spin current displays significantly different behavior of the spin transport properties between $S=1/2$ and S=1 cases. For the spin-half case, a London equation for the current and the detection of an alternating electric field are proposed for the linear response regime. The correlation functions reveal the spiral nature of spin configuration for both ground state and the spinon excitations. For the spin-one chain otherwise, a kink is generated in the ground state for the size is larger than the correlation length, leading to an exponential dependence of spin current with respect to the chains length. The midgap state emerges from the degenerate ground state even for small boundary fields.",Spin Transport Properties in Heisenberg Antiferromagnetic Spin Chains:   Spin Current induced by Twisted Boundary Magnetic Fields
7,4,0501697v2,"The competition between quantum and classical magnetization plateaus of S=1/2 frustrated Heisenberg chains with modified exchange couplings is investigated. The conventional S=1/2 frustrated Heisenberg chains is known to exhibit a 3-fold degenerate udu-type classical plateau at 1/3 of the saturation magnetization accompanied by the spontaneous Z_3 translational symmetry breakdown. The stability of this plateau phase against period 3 exchange modulation which favors the 00u-type quantum plateau state (00= singlet dimer) is studied by bosonization, renormalization group and numerical diagonalization methods. The ground state phase diagram and the spin configuration in each phase are numerically determined. The translationally invariant Valence Bond Solid-type model with 4-spin and third neighbor interactions, which has the exact 00u-type quantum plateau state, is also presented. The phase transition to the classical udu-type ground state is also observed by varying the strength of 4-spin and third neighbor interactions. The relation between these two types of models with quantum plateau states is discussed.",Quantum vs. Classical Magnetization Plateaus of S=1/2 Frustrated   Heisenberg Chains
7,5,0501698v1,"We present a certain class of two-dimensional frustrated quantum Heisenberg spin systems with multiple ring exchange interactions which are rigorously demonstrated to have quantum disordered ground states without magnetic long-range order. The systems considered in this paper are s=1/2 antiferromagnets on a honeycomb and square lattices, and an s=1 antiferromagnet on a triangular lattice. We find that for a particular set of parameter values, the ground state is a short-range resonating valence bond state or a valence bond crystal state. It is shown that these systems are closely related to the quantum dimer model introduced by Rokhsar and Kivelson as an effective low-energy theory for valence bond states.",Quantum Disordered Ground States in Frustrated Antiferromagnets with   Multiple Ring Exchange Interactions
8,1,0501457v1,"Molecular dynamics simulations are used to study the spreading of binary polymer nanodroplets in a cylindrical geometry. The polymers, described by the bead-spring model, spread on a flat surface with a surface-coupled Langevin thermostat to mimic the effects of a corrugated surface. Each droplet consists of chains of length 10 or 100 monomers with ~350,000 monomers total. The qualitative features of the spreading dynamics are presented for differences in chain length, surface interaction strength, and composition. When the components of the droplet differ only in surface interaction strength, the more strongly wetting component forms a monolayer film on the surface even when both materials are above or below the wetting transition. In the case where the only difference is the polymer chain length, the monolayer film beneath the droplet is composed of an equal amount of short chain and long chain monomers even when one component (the shorter chain length) is above the wetting transition and the other is not. The fraction of short and long chains in the precursor foot depends on whether or not both the short and long chains are in the wetting regime. Diluting the concentration of the strongly wetting component in a mixture with a weakly wetting component decreases the rate of diffusion of the wetting material to the surface and limits the spreading rate of the precursor foot, but the bulk spreading rate is not affected until the more strongly wetting component is removed completely.",Diverse Spreading Behavior of Binary Polymer Nanodroplets
8,2,0501149v1,The corona splash due to the impact of a liquid drop on a smooth dry substrate is investigated with high speed photography. A striking phenomenon is observed: splashing can be completely suppressed by decreasing the pressure of the surrounding gas. The threshold pressure where a splash first occurs is measured as a function of the impact velocity and found to scale with the molecular weight of the gas and the viscosity of the liquid. Both experimental scaling relations support a model in which compressible effects in the gas are responsible for splashing in liquid solid impacts.,Drop Splashing on a Dry Smooth Surface
8,3,0504248v1,"We present a lattice Boltzmann solution of the equations of motion describing the spreading of droplets on topologically patterned substrates. We apply it to model superhydrophobic behaviour on surfaces covered by an array of micron-scale posts. We find that the patterning results in a substantial increase in contact angle, from $110^o$ to $156^o$. The dynamics of the transition from drops suspended on top of the posts to drops collapsed in the grooves is described.",Modelling droplets on superhydrophobic surfaces: equilibrium states and   transitions
8,4,0505205v1,"In this paper the effect of pressure on the contact angle of a water drop on superhydrophobic Carbon Nanotube (CNT) forests is studied. Superhydrophobic CNT forests are obtained from a new and simple functionalization strategy, based on the gold-thiol affinity. Using a specifically devised experimental setup, we then show that these surfaces are able to withstand high excess pressures (larger than 10 kPa) without transiting toward a roughness-invaded state, therefore preserving their low adhesion properties. Together with the relatively low technical cost of the process, this robustness versus pressure makes such surfaces very appealing for practical integration into microfluidic systems.",Contact angle measurements on superhydrophobic Carbon Nanotube Forests :   effect of fluid pressure
