Topic,Count,Name,Representation,Representative_Docs,PrettyName
76,1610,76_bethe ansatz equations_algebraic bethe ansatz_diagonal bethe ansatz_thermodynamic bethe ansatz,"['bethe ansatz equations', 'algebraic bethe ansatz', 'diagonal bethe ansatz', 'thermodynamic bethe ansatz', 'bethe ansatz solution', 'bethe equations', 'coordinate bethe ansatz', 'algebraic bethe', 'bethe vectors', 'bethe ansatz']","['free energy lattice site quantum spin chain thermodynamic limit determined single dominant eigenvalue associated quantum transfer matrix infinite trotter number limit integrable quantum spin chains related solutions yang baxter equation appropriate choice quantum transfer matrix enables study spectrum means algebraic bethe ansatz turn knowledge spectrum allows study universality properties appearance conformal spectrum low temperature regime generally accessing spectrum necessary step deriving thermal form factor series representations correlation functions local operators spin chain consideration statements established physicists heuristic level calling rigorous mathematical justification work implement certain aspects programme example xxz quantum spin chain antiferromagnetic massless regime low temperature limit rigorously establish existence uniqueness characterise form solutions non linear integral equations equivalent bethe ansatz equations quantum transfer matrix model allows quantum transfer matrix spectrum related bethe ansatz does collapse zero infinite trotter number limit considered spectrum rigorously identify dominant eigenvalue correlations lengths diverge low temperature limit given leading order spectrum free boson conformal field theory rigorously establishes long standing conjecture present physics literature', 'exact solution dimensional super symmetric model generic integrable boundary conditions obtained bethe ansatz methods coordinate bethe ansatz corresponding matrix matrices derived second eigenvalue problem associated spin degrees freedom second eigenvalue problem transformed transfer matrix inhomogeneous xxx spin chain allows obtain spectrum hamiltonian associated bethe ansatz equations diagonal bethe ansatz method', 'paper study spectrum spin temperley lieb spin chain integrable open boundary conditions obtain eigenvalue expressions associated bethe ansatz equations means coordinate bethe ansatz equations provide complete description spectrum model']",bethe ansatz equations / algebraic bethe ansatz / diagonal bethe ansatz
77,900,77_contact mechanics_static friction coefficient_contact mechanics theory_static friction force,"['contact mechanics', 'static friction coefficient', 'contact mechanics theory', 'static friction force', 'friction adhesion', 'static friction', 'frictional interfaces', 'contact rigid', 'static dynamic friction', 'surfaces contact']","['report molecular dynamics study contact rigid solid randomly rough surface elastic block flat surface study contact area interfacial separation small contact low load contact high load small load contact area varies linearly load interfacial separation depends logarithmically load high load contact area approaches nominal contact area complete contact interfacial separation approaches zero present results important soft solids rubber smooth surfaces complete contact reached moderate high loads plastic deformation solids', 'contact mechanics based models friction nominally flat rough surfaces able adequately capture certain key experimentally observed phenomenona transition static friction peak lower level sliding friction shear induced contact area reduction observed pre sliding regime especially soft materials propose statistical model based physically rooted contact mechanics laws describing micromechanics individual junctions model considers quasi static tangential loading sliding contact smooth rigid flat surface nominally flat linear elastic rough surface comprising random independent spherical asperities accounts coupling adhesion friction micro junction level model qualitatively reproduces macroscopic shear induced contact area reduction remarkably static friction peak need explicitly introduce different friction levels demonstrates static friction peak contact area evolution depend normal load certain key microscale interface properties surface energy mode mixity frictional shear strength tougher interfaces larger surface energy smaller mode mixity parameter shown result larger real contact area pronounced static friction peak overall work provides important insights key microscale properties operating asperity level combine surface statistics reproduce important macroscopic responses observed rough frictionalsoft contact experiments', 'sliding solid object solid substrate requires shear force larger maximum static friction force commonly believed maximum static friction force proportional loading force does depend apparent contact area ratio maximum static friction force loading force called static friction coefficient considered constant conduct experiments demonstrating static friction force slider substrate follows novel friction law certain conditions magnitude decreases loading force increases apparent contact area decreases behavior caused slip local precursors onset bulk sliding consistent recent theory results study develop novel methods static friction control']",contact mechanics / static friction coefficient / contact mechanics theory
78,1753,78_fermi gas bcs_interacting fermi gases_superfluid fermi gas_ultracold fermi gases,"['fermi gas bcs', 'interacting fermi gases', 'superfluid fermi gas', 'ultracold fermi gases', 'interacting fermi gas', 'ultracold fermi gas', 'fermi gases', 'atomic fermi gases', 'superfluid fermi', 'fermi superfluid']","['investigate strong coupling corrections specific heat normal state ultracold fermi gas bcs bec crossover region recent experiment unitary fermi gas science shows remarkably amplified near superfluid phase transition temperature similar known lambda structure observed liquid including pairing fluctuations framework strong coupling theory developed nozi eres schmitt rink strong pairing fluctuations sufficient explain anomalous behavior observed unitary fermi gas near contribution stable preformed cooper pairs unitarity indicates origin observed anomaly fundamentally different case liquid stable bose atoms induce lambda structure near superfluid instability instead origin suppression entropy near increase metastable preformed cooper pairs results indicate specific heat useful quantity study effects pairing fluctuations thermodynamic properties ultracold fermi gas bcs bec crossover region', 'investigate magnetic properties effects pairing fluctuations bcs bardeen cooper schrieffer bec bose einstein condensation crossover regime ultracold fermi gas recently liu parish pointed strong coupling theory developed nozi eres schmitt rink nsr extensively used successfully clarify various physical properties cold fermi gases unphysically gives negative spin susceptibility bcs bec crossover region problem exist ordinary non self consistent matrix approximation paper clarify problem comes incomplete treatment term pseudogap phenomena originating strong pairing fluctuations effects spin fluctuations spin susceptibility including key issues construct extended matrix theory overcome problem resulting positive spin susceptibility agrees recent experiment fermi gas sanner workers apply theory polarized fermi gas examine superfluid phase transition temperature function polarization rate spin susceptibility important physical quantity especially singlet fermi superfluids results useful considering singlet pairs appear bcs bec crossover regime cold fermi gases', 'investigate magnetic properties strong coupling corrections bcs bardeen cooper schrieffer bec bose einstein condensation crossover regime ultracold fermi gas framework extended matrix theory calculate spin susceptibility chi superfluid phase transition temperature crossover region formation preformed cooper pairs shown cause non monotonic temperature dependence chi similar called spin gap phenomenon observed doped regime high cuprates behavior chi determine spin gap temperature temperature chi takes maximum value bcs bec crossover region spin susceptibility sensitive formation singlet cooper pairs results useful considering temperature region pairing fluctuations important bcs bec crossover regime ultracold fermi gas']",fermi gas bcs / interacting fermi gases / superfluid fermi gas
79,1939,79_interacting bose gas_interacting bose gases_bose gas confined_bose gases,"['interacting bose gas', 'interacting bose gases', 'bose gas confined', 'bose gases', 'dimensional bose gas', 'temperature bose', 'bose gas finite', 'dimensional bose gases', 'ultracold bose gas', 'temperature bose einstein']","['analyze cross homogeneous dimensional bose gas ideal gas dense quasi condensate phase review number mean field theories perturbative self consistent provide accurate evaluations equation state density fluctuations correlation functions smooth crossover reproduced classical field simulations based stochastic gross pitaevskii equation yang yang solution dimensional bose gas', 'various aspects finite size effects bose einstein condensation bec section introduce briefly bec harmonically trapped ideal bose gas second section theoretically argued bose einstein statistics needs correction finite ultralow temperatures corrected statistics introduced tsallis type generalized statistics condensate fraction calculated generalized statistics satisfied experimental result section apply scaling theory inhomogeneous like harmonically trapped bose condensate finite temperatures calculate temperature dependence critical number particles scaling theory hartree fock approximation dramatic increase critical number particles condensation point approached results support experimental result obtained condensation temperature fourth section concentrate thermodynamic casimir force bose einstein condensate explored temperature dependence casimir force', 'models strongly interacting bose gas optical lattice studied functional integral approach dimensional bose gas briefly discussed bose einstein condensate mott insulator dimensional bose gas described mean field approximation corresponding phase diagrams evaluated characteristic quantities like spectrum quasiparticle excitations static structure factor obtained gaussian fluctuations mean field solutions discuss role quantum thermal fluctuations determine behavior physical quantities terms density temperature bose gas particular study dilute limit mean field equation gross pitaevskii equation allows extend gross pitaevskii equation dense regime introducing renormalized parameters']",interacting bose gas / interacting bose gases / bose gas confined
80,959,80_interactions rydberg atoms_interacting rydberg atoms_atoms rydberg states_excited rydberg atoms,"['interactions rydberg atoms', 'interacting rydberg atoms', 'atoms rydberg states', 'excited rydberg atoms', 'rydberg atoms', 'atoms rydberg', 'rydberg interactions', 'interactions rydberg', 'rydberg atom', 'rydberg interaction']","['body orster resonances long range interactions rydberg atoms predicted observed rydberg atoms faoro nature comm resonances atoms carries away energy excess preventing body resonance leading borromean type orster energy transfer fact observed average signal large number atoms letter report experimental observation body orster resonances times rydberg atoms clear evidence signature body orster resonance exactly interacting rydberg atoms present atoms demonstrates assumption body resonances generalize rydberg atom resonance represents effective body operator used directly control body interactions quantum simulations quantum information processing rydberg atoms', 'dipole blockade effect laser excitation mesoscopic ensembles rydberg atoms lies fact excitation atom rydberg state blocks excitation atoms shift collective energy levels interacting rydberg atoms used obtain entangled qubit states based single neutral atoms optical traps paper present experimental results observation dipole blockade mesoscopic ensembles atoms detected selective field ionization method investigated spectra photon laser excitation cold rydberg atoms magneto optical trap mesoscopic ensembles method allows partial dipole blockage observed likely related presence parasitic electric fields reducing interaction energy rydberg atoms decrease probability detecting high states strong angular dependence interaction energy rydberg atoms single interaction volume', 'demonstrate effect inter atomic interaction highly excited rydberg atoms autler townes splitting cold atoms measure autler townes splitting transition atoms arising strong coupling transition cooling beams used magneto optical trap mot splitting probed using weakly coupled transition state highly excited rydberg states wide range principal quantum numbers observe splitting trap loss spectroscopy mot scanning probe frequency observe drastic increase broadening splitting signal result interaction induced dephasing effect cold rydberg atoms highly excited rydberg states principal quantum number explain observations using theoretical modelling numerical simulations based lindblad master equation good agreement results numerical simulation experimental measurements']",interactions rydberg atoms / interacting rydberg atoms / atoms rydberg states
81,1315,81_anderson localization transition_anderson transitions_theory anderson localization_localization transitions,"['anderson localization transition', 'anderson transitions', 'theory anderson localization', 'localization transitions', 'localized phases', 'anderson localization', 'anderson transition', 'localization transition', 'localization delocalization transition', 'localized extended states']","['study investigate problem anderson localization dimensional flat band lattice non hermitian quasiperiodic site potential discuss influences non hermitian potentials existence critical states findings unlike hermitian cases non hermiticity potential leads disappearance critical states critical regions furthermore able accurately determine lyapunov exponents mobility edges results reveal mobility edges form mobility lines mobility rings complex energy plane mobility rings eigenstates extended localized states located outside mobility rings mobility line cases eigenenergies lie mobility lines corresponding eigenstates extended states finally energy approaches mobility edges observe differently hermitian cases critical index localization length constant varies depending positions mobility edges', 'aubry andr harper aah model self dual symmetry plays important role studying anderson localization self dual symmetry determining quantum phase transition extended localized states non hermitian aah model eigenenergies states characterized types winding numbers constructing studying non hermitian generalized aah model generalize notion mobility edge separates localized extended states energy spectrum disordered systems non hermitian case generalized mobility edge topological nature open boundary geometry sense energies localized extended states exhibit distinct topological structures complex energy plane finally propose experimental scheme realize models electric circuits', 'study dimensional quasiperiodic described aubry andr model small wave vector limit demonstrate existence mobility edges critical regions known eigenstates aubry andr model extended localized depending strength incommensurate potential bigger critical value mobility edge exists shown recent work conclusion does hold true wave vector alpha incommensurate potential small exist mobility edges energy separate robustly delocalized states localized states exist additionally energy edges abrupt change inverse participation ratio occurs using inverse participation ratio carrying multifractal analyses identify existence critical regions leq leq mobility edges separating critical region extended localized regions respectively study eigenstates localized states divided extended critical localized states dual space utilizing self duality property aubry andr model']",anderson localization transition / anderson transitions / theory anderson localization
82,1764,82_hermitian topological phases_non hermitian topological_non hermitian topology_phases non hermitian,"['hermitian topological phases', 'non hermitian topological', 'non hermitian topology', 'phases non hermitian', 'hermitian topological', 'non hermitian skin', 'hermitian topology', 'non hermitian physics', 'bloch band theory', 'topological phases']","['non hermitian skin effect unique phenomenon extensive number eigenstates localized boundaries non hermitian recent studies non hermitian skin effect significantly suppressed magnetic fields contrast demonstrate second order skin effect sose robust enhanced magnetic fields remarkably sose induced magnetic fields trivial non hermitian does experience skin effect zero field properties intimately related persistence emergence topological line gaps complex energy spectrum presence magnetic fields magnetic field drive non hermitian hybrid skin effect order skin effect sose coexist pure sose results qualitatively new magnetic field behavior non hermitian skin effect', 'study investigate body non hermitian skin effect finite temperatures thermodynamic limit findings indicate interesting correspondence non hermitian skin effect linear electric potential effect case correspondence leads unique distribution non hermitian systems particles body non hermitian systems inhabit energy eigenstates single body counterparts result body non hermitian skin effect significantly different single body non hermitian skin effect specifically fermionic systems non hermitian skin effect disrupts original phase leading real space fermi surface bosonic systems direct bosons condense corners decay rate surpasses exponential high temperatures triggers remarkable phase transition resulting spontaneous symmetry breaking uniquely does generate goldstone mode presenting deviation traditional expectations goldstone theorem', 'investigate theoretically tunable non hermitian skin effect systems gain loss bipolar quadripolar non hermitian skin effect characterized topological invariants dimensional partial non hermitian skin effect coexistence localized states extended states types non hermitian skin effect predicted single feasible experimental scheme model proposed realize electric circuits investigation unveils new type non hermitian skin effect enhance tunability non hermitian systems gain loss conventional non reciprocal hopping']",hermitian topological phases / non hermitian topological / non hermitian topology
83,1728,83_conformal field theories_conformal field theory_field theories cfts_theories cfts,"['conformal field theories', 'conformal field theory', 'field theories cfts', 'theories cfts', 'renormalization group fixed', 'exact renormalization', 'renormalization group equations', 'exact renormalization group', 'renormalization group flow', 'quantum field theories']","['make precise determinations leading scaling dimensions operator product expansion ope coefficients ising models conformal bootstrap mixed correlators improve previous studies scanning possible relative values leading ope coefficients incorporates physical information single operator given scaling dimension scaling dimensions ope coefficients obtained ising model delta sigma delta epsilon lambda sigma sigma epsilon lambda epsilon epsilon epsilon precise determinations quantities date', 'local global scaling solutions symmetric scalar field theories studied complexified field plane help renormalisation group using expansions effective action small large purely imaginary fields obtain solve exact recursion relations couplings determine wilson fisher fixed point analytically universality classes establish wilson fisher fixed point solutions display singularities complex field plane dictate radius convergence real field expansions effective action infinite closed expressions convergence limiting singularities prove local expansions effective action powerful uniquely determine global wilson fisher fixed point value fields implications findings interacting fixed points complicated theories indicated', 'propose new approach analytically solving dynamical content conformal field theories cfts using bootstrap philosophy combines original bootstrap idea polyakov modern technology mellin representation cft amplitudes employ exchange witten diagrams built crossing symmetry basic building blocks conventional conformal blocks particular channel demanding consistency operator product expansion ope implies infinite set constraints operator dimensions ope coefficients illustrate power method epsilon expansion wilson fisher fixed point reproducing anomalous dimensions strikingly obtaining ope coefficients higher orders epsilon currently available using analytic techniques including feynman diagram calculations results enable somewhat better agreement certain observables ising model precise numerical values recently obtained']",conformal field theories / conformal field theory / field theories cfts
84,975,84_disordered spin_disordered quantum_quantum body_spin chains,"['disordered spin', 'disordered quantum', 'quantum body', 'spin chains', 'quantum spin', 'localized phases', 'localized mbl phase', 'mbl phase transition', 'heisenberg spin chain', 'spin chain']","['consider disordered body systems periodic time dependent hamiltonians spatial dimension studying properties floquet eigenstates identify distinct phases body localized mbl phase eigenstates area law entanglement entropy eigenstate thermalization hypothesis eth violated delocalized phase eigenstates volume law entanglement obey eth mbl phase exhibits logarithmic time growth entanglement entropy initial product states distinguishes delocalized phase propose effective model mbl phase terms extensive number emergent local integrals motion liom naturally explains spectral dynamical properties phase numerical data obtained exact diagonalization time evolving block decimation methods suggests direct transition phases results body localization destroyed sufficiently weak periodic driving', 'study body localization aspects single particle mobility edges fermionic systems investigate incommensurate lattices random disorder anderson models body localization quantum nonergodic properties studied comparing entanglement thermal entropy calculating scaling subsystem particle number fluctuations respectively establish nonergodic extended phase generic intermediate phase purely ergodic extended nonergodic localized phases body localization transition non interacting fermions entanglement entropy manifests volume law extended large fluctuations subsystem particle numbers nonergodic argue intermediate phase scenario continue holding body localization presence interactions body states non interacting aubry andre anderson models entanglement entropy density normalized particle number fluctuation discontinuous jumps localization transition entanglement entropy sub thermal obeys volume law vicinity localization transition entanglement entropy particle number fluctuations obey single parameter scaling argue using numerical theoretical results critical scaling behavior persist interacting body localization problem important consequences work provides persuasive evidence favor transitions body systems single particle mobility edges indicating transition purely localized nonergodic body localized phase nonergodic extended body metallic phase second transition eventually usual ergodic body extended phase', 'question anderson insulators persist finite strength interactions scenario dubbed body localization recently received great deal origin body localized phase described localization fock space picture examine numerically formulate precise sense single energy eigenstate hamiltonian adiabatically connected state non interacting anderson insulator state body localized state define body localized phase states body localized states explore possible consequences striking area law entanglement entropy excited states body localized phase present results numerical calculations dimensional spinless fermions results consistent area law implication body localization states regions weak interactions strong disorder rare regions rare states larger entanglement entropies furthermore study implications body localization topological phases self correcting quantum memories scenarios body localization help stabilize topological order non zero energy density propose potentially useful criteria confirm scenarios']",disordered spin / disordered quantum / quantum body
85,663,85_turbulent combustion_flame dynamics_turbulent flame_turbulent flames,"['turbulent combustion', 'flame dynamics', 'turbulent flame', 'turbulent flames', 'turbulent flame speed', 'flame structure', 'flame structures', 'flame propagation', 'flame speeds', 'turbulent burning']","['paper present framework study synchronization flow velocity acoustic pressure heat release rate technically premixed swirl flames framework uses extended proper orthogonal decomposition identify regions velocity field velocity heat release fluctuations highly correlated apply framework study coupled interactions associated period period type thermoacoustic instability technically premixed swirl stabilized gas turbine model combustor operated hydrogen enriched natural gas structures flame surface heat release rate correlated dominant coherent structures flow field using extended pod observe correlated structures flow velocity flame surface heat release rate fields share spatial regions thermoacoustic instability period oscillations case period oscillations structures flame surface heat release rate field strongly correlated structures contribute coherent structures flow field using temporal coefficients dominant pod modes flow velocity field observed frequency locking behaviour time series acoustic pressure heat release rate temporal coefficients dominating pod modes velocity field state period period oscillations respectively frequency locked states indicate underlying phase synchronization states correlated coherent structures flow velocity field', 'study investigates effects curvature local heat release rate mixture fraction turbulent flame wall interaction lean dimethyl ether air flame using fully resolved simulation reduced skeletal chemical reaction mechanism mixture averaged transport region turbulent flame wall interaction affects flame restricted wall distance twice laminar flame thickness regions heat losses heat release rate curvature mixture fraction curvature negatively correlated accordance experimental findings flame wall interaction alters correlation heat release rate curvature inversion sign correlation negative positive observed flame starts experience heat losses wall correlation mixture fraction curvature unaffected flame wall interactions remains negative similarly experimental findings investigated turbulent wall quenching flame shows head quenching wall quenching like behavior different quenching events associated different curvature values near wall region furthermore medium heat loss correlations heat release rate curvature sensitive quenching scenario', 'experimental study investigates dynamical transition stable operation thermoacoustic instability turbulent bluff body stabilized dump combustor conduct experiments characterize dynamical transition utilizing acoustic pressure local heat release rate fluctuations observe transition thermoacoustic instability experiments decrease equivalence ratio fuel lean setting importantly observe significant growth local heat release rate fluctuations near bluff body appearance large scale spatial temporal patterns occurrence thermoacoustic instability strategically positioning slots perforations bluff body ensure reduction growth local heat release rate fluctuations stagnation zone near bluff body operating conditions far away onset thermoacoustic instability reduction local heat release rate fluctuations ensures transition thermoacoustic instability avoided modified configurations bluff body quench local heat release rate fluctuations stagnation zone results transition thermoacoustic instability reveal effective suppression strategy based growth local heat release rate fluctuations requires optimization area ratio slots given bluff body position suppression strategy depends spatial distribution perforations bluff body notably inappropriate distribution slots does quench local heat release rate fluctuations stagnation zone result dramatic increase amplitudes pressure oscillations']",turbulent combustion / flame dynamics / turbulent flame
86,718,86_spin ice magnetic_spin ice materials_dynamics spin ice_quantum spin ice,"['spin ice magnetic', 'spin ice materials', 'dynamics spin ice', 'quantum spin ice', 'artificial spin ices', 'artificial spin ice', 'monopoles spin ice', 'classical spin ice', 'spin ice material', 'spin ice compounds']","['restricted boltzmann machines used probabilistic learning capable capturing complex dependencies data employed diverse purposes dimensionality reduction feature learning used representing analyzing physical systems minimal data paper investigate complex strongly correlated magnetic spin multiple metastable states magnetic artificial spin ice using restricted boltzmann machine magnetic artificial spin ice degeneracies specified leading complex states support unusual collective dynamics investigate distinct geometries exhibiting different low temperature orderings evaluate machine performance adaptability capturing diverse magnetic behaviors data sets constructed spin configurations importance sampled partition function square pinwheel artificial spin ice hamiltonians different temperatures used extract features distributions using restricted boltzmann machine results indicate restricted boltzmann machine algorithm sensitive features define artificial spin ice configuration space able reproduce thermodynamic quantities away criticality feature useful faster sample generation additionally demonstrate restricted boltzmann machine distinguish different artificial spin ice geometries data structural defects present', 'spin ice state rare earth pyrochlore magnets offers beautiful realisation classical magnetostatics complete magnetic monopole excitations suggested quantum spin ice materials quantum mechanical tunnelling different ice configurations convert magnetostatics spin ice quantum spin liquid realises fully dynamical lattice analogue quantum electromagnetism explore state manifest experiment minimal microscopic model quantum spin ice develop lattice field theory model use make explicit predictions dynamical structure factor observed neutron scattering experiments quantum spin ice pinch points seen quasi elastic scattering signal feature classical spin ice fade away quantum ice cooled zero temperature ground state make explicit predictions ghostly linearly dispersing magnetic excitations photons emergent electromagnetism predictions field theory shown quantitative agreement quantum monte carlo simulations zero temperature', 'pyrochlore materials characterized hallmark network corner sharing rare earth tetrahedra produce wide array complex magnetic ground states ferromagnetic ising pyrochlores obey spin ice rules lead highly degenerate spin structure large moment systems tend host classical spin ice state low temperature spin freezing emergent magnetic monopoles systems smaller effective moments based pyrochlores proposed excellent candidates hosting quantum spin ice characterized entanglement slew exotic quasiparticle excitations experimental evidence quantum spin ice state remained elusive low temperature magnetic properties satisfy important criteria continued consideration quantum spin ice exhibits partially spin frozen ground state large volume fraction dynamic magnetism comprehensive bulk characterization neutron scattering measurements enable map magnetic field temperature phase diagram producing results consistent expectations ferromagnetic ising pyrochlore identify key hallmarks spin ice physics application small magnetic fields sim suppresses spin ice state induces long range ordered magnetic structure work clarifies current state encourages future studies aimed exploring potential quantum spin ice ground state']",spin ice magnetic / spin ice materials / dynamics spin ice
87,1091,87_quantum spin liquids_quantum spin liquid_spin liquid behavior_spin liquid state,"['quantum spin liquids', 'quantum spin liquid', 'spin liquid behavior', 'spin liquid state', 'spin liquids', 'spin liquid candidate', 'spin liquid phase', 'spin liquid', 'gapless spin liquid', 'kitaev spin liquid']","['spin orbit coupling important ingredient regulate body physics especially spin liquid candidate materials rare earth magnets kitaev materials rare earth chalcogenides naybch congenital frustrating exhibit intrinsic landmark spin liquid eliminating site disorders ions big ionic size difference dzyaloshinskii moriya interaction perfect triangular lattice ions temperature versus magnetic field phase diagram established magnetization specific heat neutron scattering measurements notably neutron diffraction spectra magnetization curve provide microscopic evidence series spin configuration plane fields include disordered spin liquid state antiferromagnet half magnetization state furthermore ground state suggested gapless spin liquid inelastic neutron scattering magnetic field adjusts spin orbit coupling strong spin orbit coupling frustrated quantum magnet substantially enriches low energy spin physics rare earth family offer good platform exploring quantum spin liquid ground state quantum magnetic transitions', 'despite tremendous investigations quantum spin liquid state realized spin kagome heisenberg antiferromagnet remains largely elusive herbertsmithite zncu quantum spin liquid candidate perfect kagome lattice precisely characterizing intrinsic physics kagome layers extremely challenging presence interlayer antisite disorder crystal structure measured specific heat thermal conductivity single crystal herbertsmithite magnetic fields high resolution results highlighted excellent scaling collapse intrinsic magnetic specific heat contribution arising kagome layers function temperature magnetic field addition residual linear term thermal conductivity kappa rightarrow observed zero applied magnetic fields indicating absence itinerant gapless excitations results suggest new picture quantum spin liquid state kagome layers herbertsmithite localized orphan spins arise interact random exchanges conjunction non itinerant quantum spin liquid', 'continuum spin excitations observed inelastic neutron scattering experiments considered strong evidence quantum spin liquid formation quantum spin liquid ground state disorder free magnetic compound elementary excitation longer conventional spin waves magnons instead magnons fractionalize spinons leaving spinon continuum detectable inelastic neutron scattering experiments clean ordered antiferromagnet unclear observe continuous spectrum similar ones quantum spin liquid state magnetically ordered state baco able host spin excitation continuum induced strong quantum fluctuations second thought necessary concluding continuum signature quantum spin liquid new material explorations']",quantum spin liquids / quantum spin liquid / spin liquid behavior
88,1269,88_particle accelerators_accelerator physics_proton beam_linear accelerators,"['particle accelerators', 'accelerator physics', 'proton beam', 'linear accelerators', 'beam emittance', 'linear accelerator', 'particle beam', 'test accelerator', 'optics test accelerator', 'proton improvement plan']","['proton improvement plan pip fermilab program upgrades injection complex core design construction compatible pulsed srf linac validate concept end machine test accelerator known pip injector test pip construction includes kev ion source long low energy beam transport lebt mev cwrfq followed medium energy beam transport mebt feeds cryomodules increasing beam energy mev high energy beam transport section hebt takes beam dump ion source lebt rfq initial version mebt built installed commissioned report presents overall status warm end', 'cornell electron positron storage ring cesr converted high energy physics electron positron collider operate dedicated synchrotron light source cornell high energy synchrotron source chess conduct accelerator physics research test accelerator capable studying topics relevant future damping rings colliders light sources specific topics targeted initial phase operation storage ring mode labeled cesrta cesr test accelerator included tuning techniques produce low emittance beams study electron cloud development storage ring intra beam scattering effects complete conversion cesr cesrta occurred year period described conversion cesr beam position monitoring cbpm completely upgraded provide needed instrumental capabilities studies paper describes new cbpm hardware function representative measurements performed upgraded', 'cornell electron positron storage ring cesr converted high energy physics electron positron collider operate dedicated synchrotron light source cornell high energy synchrotron source chess conduct accelerator physics research test accelerator capable studying topics relevant future damping rings colliders light sources specific topics targeted initial phase operation storage ring mode cesr test accelerator cesrta included tuning techniques produce low emittance beams study electron cloud development storage ring intra beam scattering effects complete conversion cesr cesrta occurred year period described addition instrumentation storage ring created cesrta existing instrumentation modified facilitate entire range investigations support studies procedures developed requiring coordinated measurements different instruments paper describes instruments utilized study beam dynamics operation cesrta treatment instruments remain fairly general paper focusses overview instruments interaction inter relationships sequences observations companion paper describing associated measurement techniques detailed descriptions detailed operational performance instrumentation referenced related sections paper']",particle accelerators / accelerator physics / proton beam
89,1132,89_cosmological parameters_standard cosmology_matter dark energy_energy dark matter,"['cosmological parameters', 'standard cosmology', 'matter dark energy', 'energy dark matter', 'dark energy density', 'dark matter dark', 'dark energy dark', 'agegraphic dark energy', 'dark energy', 'dark matter']","['work investigate background dynamics dark energy coupled dark matter suitable interaction universe described einstein aether gravity dark energy form modified chaplygin gas considered suitable interaction dark energy dark matter considered order alleviate solve cosmic coincidence problem dynamical equations solved numerically stable scaling solution obtained significant attempt solution cosmic coincidence problem taken statefinder parameters calculated classify dark energy models graphs phase diagrams drawn study variations parameters seen background dynamics modified chaplygin gas einstein aether gravity completely consistent notion accelerated expansion late universe finally shown universe follows power law form expansion critical point', 'derivation holographic dark energy density area law black hole entropy plays crucial role entropy area relation modified inclusion quantum effects motivated loop quantum gravity string theory black hole physics paper study cosmological implication interacting entropy corrected holographic dark energy model framework brans dicke cosmology obtain equation state deceleration parameters entropy corrected holographic dark energy non flat universe cutoff choose radius event horizon measured sphere horizon defined entropy corrected holographic dark energy combined brans dicke field transition normal state phantom regime equation state interacting dark energy easily achieved resort einstein field equations', 'considered flat frw model universe filled combination dark matter dark energy considered types dark energy models generalized holographic generalized ricci dark energies general descriptions law generalized second law gsl thermodynamics studied apparent horizon particle horizon event horizon universe shown law gsl valid apparent horizon law satisfied particle event horizons einstein gravity results true types dark energy models results depend dark energy models einstein gravity gsl completely depends choices dark energy models einstein gravity discussed validity gsl generalized holographic generalized ricci dark energy models particle horizon gsl satisfied event horizon gsl satisfied dark energy models considered generalized holographic dark energy generalized ricci dark energy original holographic dark energy situation calculated expression radius horizon horizon shown law satisfied finally horizon radius gsl satisfied dark energy models']",cosmological parameters / standard cosmology / matter dark energy
